start_ip,end_ip,port,action,is_redundant
300,350,80,ALLOW,0
305,340,80,DENY,1
360,420,443,ALLOW,0
370,400,443,DENY,1
430,480,22,ALLOW,0
440,470,22,DENY,1
490,550,8080,ALLOW,0
500,530,8080,DENY,1
560,600,3306,ALLOW,0
570,590,3306,DENY,1
610,680,21,ALLOW,0
620,650,21,DENY,1
690,750,25,ALLOW,0
700,740,25,DENY,1
760,820,110,ALLOW,0
770,800,110,DENY,1
830,900,53,ALLOW,0
840,880,53,DENY,1
910,980,443,ALLOW,0
920,960,443,DENY,1
1000,1100,80,ALLOW,0
1020,1080,80,DENY,1
1110,1200,22,ALLOW,0
1130,1180,22,DENY,1
1210,1300,8080,ALLOW,0
1230,1280,8080,DENY,1
1310,1400,3306,ALLOW,0
1330,1380,3306,DENY,1
1410,1500,25,ALLOW,0
1430,1480,25,DENY,1
1510,1600,110,ALLOW,0
1530,1580,110,DENY,1
1610,1700,53,ALLOW,0
1630,1680,53,DENY,1
1710,1800,443,ALLOW,0
1730,1780,443,DENY,1
1810,1900,80,ALLOW,0
1830,1880,80,DENY,1
1910,2000,22,ALLOW,0
1930,1980,22,DENY,1
2001,2100,8080,ALLOW,0
2020,2080,8080,DENY,1
2101,2200,3306,ALLOW,0
2120,2180,3306,DENY,1
2201,2300,25,ALLOW,0
2220,2280,25,DENY,1
2301,2400,110,ALLOW,0
2320,2380,110,DENY,1
2401,2500,53,ALLOW,0
2420,2480,53,DENY,1
2501,2600,443,ALLOW,0
2520,2580,443,DENY,1
2601,2700,80,ALLOW,0
2620,2680,80,DENY,1
2701,2800,22,ALLOW,0
2720,2780,22,DENY,1
2801,2900,8080,ALLOW,0
2820,2880,8080,DENY,1
2901,3000,3306,ALLOW,0
2920,2980,3306,DENY,1
3001,3100,25,ALLOW,0
3020,3080,25,DENY,1
3101,3200,110,ALLOW,0
3120,3180,110,DENY,1
3201,3300,53,ALLOW,0
3220,3280,53,DENY,1
3301,3400,443,ALLOW,0
3320,3380,443,DENY,1
3401,3500,80,ALLOW,0
3420,3480,80,DENY,1
3501,3600,22,ALLOW,0
3520,3580,22,DENY,1
3601,3700,8080,ALLOW,0
3620,3680,8080,DENY,1
3701,3800,3306,ALLOW,0
3720,3780,3306,DENY,1
3801,3900,25,ALLOW,0
3820,3880,25,DENY,1
3901,4000,110,ALLOW,0
3920,3980,110,DENY,1
4001,4100,53,ALLOW,0
4020,4080,53,DENY,1
4101,4200,443,ALLOW,0
4120,4180,443,DENY,1
4201,4300,80,ALLOW,0
4220,4280,80,DENY,1
4301,4400,22,ALLOW,0
4320,4380,22,DENY,1
4401,4500,8080,ALLOW,0
4420,4480,8080,DENY,1
4501,4600,3306,ALLOW,0
4520,4580,3306,DENY,1
4601,4700,25,ALLOW,0
4620,4680,25,DENY,1
4701,4800,110,ALLOW,0
4720,4780,110,DENY,1
4801,4900,53,ALLOW,0
4820,4880,53,DENY,1
4901,5000,443,ALLOW,0
4920,4980,443,DENY,1
