start_ip,end_ip,port,action,is_redundant
27207,27250,10250,DENY,0
3126,3200,2379,ALLOW,0
21090,21389,8888,DENY,1
39538,39632,8443,ALLOW,1
34199,34269,6379,DENY,0
27690,27718,1433,ALLOW,0
5874,6157,8443,DENY,1
39703,39734,6443,DENY,0
42911,42933,10250,ALLOW,0
35535,35901,8080,DENY,1
46454,46591,3389,ALLOW,1
4377,4462,443,DENY,1
2402,2500,443,DENY,1
56304,56449,443,ALLOW,0
44576,44607,2222,DENY,0
34620,34814,4443,ALLOW,1
8457,8505,8080,ALLOW,1
56569,56657,8000,DENY,0
41824,42003,1433,ALLOW,1
47357,47404,8000,DENY,1
17143,17209,5432,DENY,1
46576,46689,21,ALLOW,0
43312,43329,443,ALLOW,1
7901,7943,443,ALLOW,0
23270,23746,3306,DENY,0
46164,46216,6379,DENY,1
19778,20010,1433,DENY,1
647,685,22,ALLOW,0
47163,47242,53,DENY,1
10948,11214,80,DENY,1
6384,6456,8443,ALLOW,0
58625,58846,4443,ALLOW,1
38131,38147,21,ALLOW,1
10509,10838,53,DENY,1
27533,27581,21,DENY,1
49230,49619,53,ALLOW,1
32776,32781,9200,DENY,0
16975,17229,5432,DENY,1
34999,35067,9000,ALLOW,0
64023,64033,53,ALLOW,0
40388,40536,22,ALLOW,1
37571,37609,4443,DENY,0
49015,49183,3306,DENY,0
10761,10814,443,DENY,0
19348,19358,6443,DENY,1
57054,57248,1433,DENY,1
29226,29301,110,DENY,1
53368,53417,22,ALLOW,0
53110,53203,25,DENY,1
27351,27568,21,ALLOW,1
24402,24769,1433,DENY,0
49249,49300,8888,ALLOW,0
23999,24415,9000,DENY,1
24200,24227,8443,DENY,0
4666,5180,22,DENY,0
41322,41417,27017,DENY,1
37637,37871,9200,DENY,1
15667,15822,3306,ALLOW,0
54897,55003,21,ALLOW,0
22067,22350,1433,ALLOW,1
33966,34046,443,DENY,0
27083,27143,6443,DENY,0
30381,30449,5000,DENY,1
